"principalsalesrep","customersoldto","customershipto","salesrepid"
"ALLREP","0030070570","0070090977","myaz-leechooc"
"ALLREP","0030070570","0070090977","myaz-lenzjaw"
"ALLREP","0030070570","0070090977","myaz-lgteoh"
"ALLREP","0030070570","0070090977","myaz-linaliew"
"ALLREP","0030070570","0070090977","myaz-liyanaaa"
"ALLREP","0030070570","0070090977","myaz-llng"
"ALLREP","0030070570","0070090977","myaz-lstee"
"ALLREP","0030070570","0070090977","myaz-lucashaw"
"ALLREP","0030070570","0070090977","myaz-lyng"
"ALLREP","0030070570","0070090977","myaz-mandyteoh"
"ALLREP","0030070570","0070090977","myaz-meilingho"
"ALLREP","0030070570","0070090977","myaz-mfloh"
"ALLREP","0030070570","0070090977","myaz-michael"
"ALLREP","0030070570","0070090977","myaz-mingweychan"
"ALLREP","0030070570","0070090977","myaz-nezulhisyama"
"ALLREP","0030070570","0070090977","myaz-nicolelim"
"ALLREP","0030070570","0070090977","myaz-nicoletan"
"ALLREP","0030070570","0070090977","myaz-nureen"
"ALLREP","0030070570","0070090977","myaz-omariqbal"
"ALLREP","0030070570","0070090977","myaz-paulinet"
"ALLREP","0030070570","0070090977","myaz-pearlypoh"
"ALLREP","0030070570","0070090977","myaz-peggylee"
"ALLREP","0030070570","0070090977","myaz-peivithras"
"ALLREP","0030070570","0070090977","myaz-pingpengc"
"ALLREP","0030070570","0070090977","myaz-ppning"
"ALLREP","0030070570","0070090977","myaz-praveena"
"ALLREP","0030070570","0070090977","myaz-premaladevy"
"ALLREP","0030070570","0070090977","myaz-premikar"
"ALLREP","0030070570","0070090977","myaz-rabeccatan"
"ALLREP","0030070570","0070090977","myaz-rachelkoh"
"ALLREP","0030070570","0070090977","myaz-raymondgoh"
"ALLREP","0030070570","0070090977","myaz-rianne"
"ALLREP","0030070570","0070090977","myaz-rukkeeshraus"
"ALLREP","0030070570","0070090977","myaz-saikkeefoo"
"ALLREP","0030070570","0070090977","myaz-sannieliew"
"ALLREP","0030070570","0070090977","myaz-sashinap"
"ALLREP","0030070570","0070090977","myaz-sereneyap"
"ALLREP","0030070570","0070090977","myaz-sharonelim"
"ALLREP","0030070570","0070090977","myaz-sharonlaw"
"ALLREP","0030070570","0070090977","myaz-shijialoo"
"ALLREP","0030070570","0070090977","myaz-shirleychai"
"ALLREP","0030070570","0070090977","myaz-shirlytan"
"ALLREP","0030070570","0070090977","myaz-shuwenwong"
"ALLREP","0030070570","0070090977","myaz-skylerlau"
"ALLREP","0030070570","0070090977","myaz-slng"
"ALLREP","0030070570","0070090977","myaz-slwong"
"ALLREP","0030070570","0070090977","myaz-snowchong"
"ALLREP","0030070570","0070090977","myaz-sookimgoh"
"ALLREP","0030070570","0070090977","myaz-souyanwong"
"ALLREP","0030070570","0070090977","myaz-stanleyyip"
"ALLREP","0030070570","0070090977","myaz-stephaniebeh"
"ALLREP","0030070570","0070090977","myaz-stephanieh"
"ALLREP","0030070570","0070090977","myaz-stephanylim"
"ALLREP","0030070570","0070090977","myaz-stepling"
"ALLREP","0030070570","0070090977","myaz-stewartchin"
"ALLREP","0030070570","0070090977","myaz-summerlau"
"ALLREP","0030070570","0070090977","myaz-swyeoh"
"ALLREP","0030070570","0070090977","myaz-syamaladevi"
"ALLREP","0030070570","0070090977","myaz-sylviasoh"
"ALLREP","0030070570","0070090977","myaz-sywong1"
"ALLREP","0030070570","0070090977","myaz-tbyap"
"ALLREP","0030070570","0070090977","myaz-teehockw"
"ALLREP","0030070570","0070090977","myaz-tingzhiwong"
"ALLREP","0030070570","0070090977","myaz-tmtan"
"ALLREP","0030070570","0070090977","myaz-tracywong"
"ALLREP","0030070570","0070090977","myaz-ttng"
"ALLREP","0030070570","0070090977","myaz-tttan"
"ALLREP","0030070570","0070090977","myaz-tzexianlau"
"ALLREP","0030070570","0070090977","myaz-vincent"
"ALLREP","0030070570","0070090977","myaz-vivianlai"
"ALLREP","0030070570","0070090977","myaz-viviennec"
"ALLREP","0030070570","0070090977","myaz-waixinlow"
"ALLREP","0030070570","0070090977","myaz-weeyanc"
"ALLREP","0030070570","0070090977","myaz-wendychoong"
"ALLREP","0030070570","0070090977","myaz-wendyloo"
"ALLREP","0030070570","0070090977","myaz-yichingoh"
"ALLREP","0030070570","0070090977","myaz-yingyingfoo"
"ALLREP","0030070570","0070090977","myaz-yitinglim"
"ALLREP","0030070570","0070090977","myaz-yiyeonggoh"
"ALLREP","0030070570","0070090977","myaz-yjsek"
"ALLREP","0030070570","0070090977","myaz-yklore"
"ALLREP","0030070570","0070090977","myaz-ymteh"
"ALLREP","0030070570","0070090977","myepp-deniseang"
"ALLREP","0030070570","0070090977","myepp-erischew"
"ALLREP","0030070570","0070090977","myepp-jacelynteh"
"ALLREP","0030070570","0070090977","myepp-jeannetan"
"ALLREP","0030070570","0070090977","myepp-jefftay"
"ALLREP","0030070570","0070090977","myepp-kelvinlim"
"ALLREP","0030070570","0070090977","myepp-louiskhaw"
"ALLREP","0030070570","0070090977","myepp-lynntan"
"ALLREP","0030070570","0070090977","myepp-mickychaang"
"ALLREP","0030070570","0070090977","myepp-ngkh"
"ALLREP","0030070570","0070090977","myepp-sandrapang"
"ALLREP","0030070570","0070090977","mymrni-abbysoo"
"ALLREP","0030070570","0070090977","mymrni-abraeapen"
"ALLREP","0030070570","0070090977","mymrni-adamwong"
"ALLREP","0030070570","0070090977","mymrni-adelinechai"
"ALLREP","0030070570","0070090977","mymrni-aileentan"
"ALLREP","0030070570","0070090977","mymrni-alexlee"
"ALLREP","0030070570","0070090977","mymrni-alvintan"
"ALLREP","0030070570","0070090977","mymrni-amandaloh"
"ALLREP","0030070570","0070090977","mymrni-amirtharaj"
"ALLREP","0030070570","0070090977","mymrni-anniengian"
"ALLREP","0030070570","0070090977","mymrni-avenieloo"
"ALLREP","0030070570","0070090977","mymrni-bslim"
"ALLREP","0030070570","0070090977","mymrni-bsteoh"
"ALLREP","0030070570","0070090977","mymrni-carinechong"
"ALLREP","0030070570","0070090977","mymrni-carmenc"
"ALLREP","0030070570","0070090977","mymrni-ccliew"
"ALLREP","0030070570","0070090977","mymrni-cclim"
"ALLREP","0030070570","0070090977","mymrni-cherrytan"
"ALLREP","0030070570","0070090977","mymrni-cheryla"
"ALLREP","0030070570","0070090977","mymrni-chloelai"
"ALLREP","0030070570","0070090977","mymrni-chloelim"
"ALLREP","0030070570","0070090977","mymrni-christan"
"ALLREP","0030070570","0070090977","mymrni-christinel"
